NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,Año de Corte
"890,327,601",BRILLASEO SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,"8,121",SERVICIOS,$0.07,$0.00,$0.02,$0.01,$0.01,"2,022"
"811,017,244",AGROCOMERCIAL CAGIR SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,APARTADO-ANTIOQUIA,"4,620",COMERCIO,$0.07,$0.00,$0.03,$0.01,$0.01,"2,022"
"830,001,133",CHEVYPLAN S A SOCIEDAD ADMINISTRADORA DE PLANES DE AUTOFINANCIAMIENTO COMERCIAL,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"6,619",SERVICIOS,$0.07,$0.01,$0.41,$0.37,$0.04,"2,022"
"816,006,449",LA INTEGRIDAD SAS,SUPERSOCIEDADES,Eje Cafetero,RISARALDA,PEREIRA-RISARALDA,"4,711",COMERCIO,$0.07,$0.00,$0.01,$0.00,$0.01,"2,022"
"805,007,280",ALADDIN HOTEL & CASINO SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,"9,200",SERVICIOS,$0.07,$0.00,$0.08,$0.04,$0.04,"2,022"
"890,102,603",GRUPO MI CORRAL S A,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,"4,620",COMERCIO,$0.07,$0.00,$0.03,$0.02,$0.01,"2,022"
"860,043,345",AYURA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,125,AGROPECUARIO,$0.07,$0.02,$0.25,$0.11,$0.14,"2,022"
"900,486,095",VIAPPIANI DE COLOMBIA S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,"1,811",MANUFACTURA,$0.07,$0.01,$0.06,$0.03,$0.03,"2,022"
"900,347,805",CAMPOFERT SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,YUMBO-VALLE,"2,012",MANUFACTURA,$0.07,$0.00,$0.07,$0.05,$0.02,"2,022"
"890,707,006",PROCESADORA DE POLLOS GARZON SAS POLLOSGAR SAS,SUPERSOCIEDADES,Otros,TOLIMA,IBAGUE-TOLIMA,145,AGROPECUARIO,$0.07,$0.00,$0.02,$0.01,$0.01,"2,022"
"860,050,625",INDUSTRIA SANTA CLARA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"1,081",MANUFACTURA,$0.07,$0.00,$0.02,$0.05,-$0.03,"2,022"
"900,620,832",SOFKA TECHNOLOGIES S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,"6,201",SERVICIOS,$0.07,$0.01,$0.03,$0.02,$0.01,"2,022"
"890,317,402",AGREGADOZ Y MEZCLAS CACHIBI SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,YUMBO-VALLE,"4,210",CONSTRUCCIÓN,$0.07,$0.00,$0.06,$0.04,$0.02,"2,022"
"900,877,535",CUARZO AMARILLO S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,"7,010",SERVICIOS,$0.07,$0.08,$0.42,$0.06,$0.35,"2,022"
"900,904,055",MHC INGENIERIA Y CONSTRUCCION DE OBRAS CIVILES SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"4,210",CONSTRUCCIÓN,$0.07,$0.03,$0.75,$0.48,$0.27,"2,022"
"811,000,056",INGENIERIA INMOBILIARIA SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,"4,111",CONSTRUCCIÓN,$0.07,$0.00,$0.16,$0.15,$0.02,"2,022"
